RANK,Cities,2019 Market Share,2019 Visitation,Volume % Change,2018 Market Share,2018 Visitation
1,"New York-White Plains-Wayne, NY-NJ MD",25.47%,"10,288",-2.5%,26.47%,"10,557"
2,"Miami-Miami Beach-Kendall, FL MD",12.90%,"5,211",1.4%,12.88%,"5,137"
3,"Los Angeles-Long Beach-Glendale, CA MD",11.50%,"4,645",-8.4%,12.72%,"5,073"
4,"Orlando-Kissimmee-Sanford, FL MSA",10.93%,"4,415",1.5%,10.91%,"4,351"
5,"San Francisco-San Mateo-Redwood City, CA MD",8.19%,"3,308",-6.1%,8.83%,"3,522"
6,"Las Vegas-Paradise, NV MSA",7.40%,"2,989",-3.7%,7.78%,"3,103"
7,"Honolulu, HI MSA",6.81%,"2,751",6.3%,6.49%,"2,588"
8,"Washington (DC Metro Area), DC-MD-VA",4.72%,"1,907",-6.4%,5.11%,"2,038"
9,"Boston-Quincy, MA MD",3.88%,"1,567",-5.1%,4.14%,"1,651"
10,"Chicago-Joliet-Naperville, IL MD",3.69%,"1,491",-2.2%,3.82%,"1,524"
11,"Fort Lauderdale-Pompano Beach-Deerfield Beach, FL MD",2.43%,982,1.3%,2.43%,969
12,"San Diego-Carlsbad-San Marcos, CA MSA",2.18%,881,-22.2%,2.84%,"1,133"
13,"Seattle-Bellevue-Everett, WA MD",2.09%,844,15.6%,1.83%,730
14,"Houston-Sugar Land-Baytown, TX MSA",2.05%,828,-6.9%,2.23%,889
15,"Flagstaff, AZ MSA",1.81%,731,-1.5%,1.86%,742
16,"Atlanta-Sandy Springs-Marietta, GA MSA",1.80%,727,2.4%,1.78%,710
17,"Philadelphia, PA MSA",1.74%,703,10.2%,1.60%,638
18,"Santa Ana-Anaheim-Irvine, CA MD",1.56%,630,-18.6%,1.94%,774
19,"Dallas-Plano-Irving, TX MSA",1.51%,610,-4.4%,1.60%,638
20,"Tampa-St. Petersburg-Clearwater, FL MSA",1.51%,610,22.2%,1.25%,499
21,"San Jose-Sunnyvale-Santa Clara, CA MSA",1.46%,590,-1.3%,1.50%,598
22,"Key West, FL MSA",1.28%,517,18.9%,1.09%,435
23,"New Orleans-Metairie-Kenner, LA MSA",1.08%,436,-4.2%,1.14%,455
24,"Phoenix-Mesa-Glendale, AZ MSA",0.96%,388,23.2%,0.79%,315
25,"West Palm Beach-Boca Raton-Boynton Beach, FL MD",0.85%,343,6.2%,0.81%,323
26,"Denver-Aurora-Broomfield, CO MSA",0.82%,331,0.0%,0.83%,331
27,"Naples-Marco Island, FL MSA",0.79%,319,29.1%,0.62%,247
28,"Riverside-San Bernardino-Ontario, CA MSA",0.78%,315,-21.8%,1.01%,403
29,"Buffalo-Niagara Falls, NY MSA",0.75%,303,-28.4%,1.06%,423
30,"Monterey-Salinas, CA MSA",0.71%,287,-18.2%,0.88%,351
31,"Portland-Vancouver-Hillsboro, OR-WA MSA",0.66%,267,0.0%,0.67%,267
32,"Santa Barbara-Santa Maria-Goleta, CA MSA",0.65%,263,-15.4%,0.78%,311
33,"Detroit-Warren-Livonia, MI MSA",0.64%,259,-21.8%,0.83%,331
33,"Newark-Union, NJ-PA MD",0.64%,259,3.2%,0.63%,251
35,"Cape Coral-Fort Myers, FL MSA",0.61%,246,-14.3%,0.72%,287
36,"Nashville-Davidson-Murfreesboro-Franklin, TN MSA",0.59%,238,15.0%,0.52%,207
37,"Sacramento-Arden-Arcade-Roseville, CA MSA",0.58%,234,6.8%,0.55%,219
38,"Hilo (Big Island), HI MICRO",0.54%,218,-15.8%,0.65%,259
39,"Kahului-Wailuku (Maui), HI MICRO",0.52%,210,-13.6%,0.61%,243
39,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",0.52%,210,-0.5%,0.53%,211
39,"Oakland-Fremont-Hayward, CA MD",0.52%,210,5.5%,0.50%,199
42,"Salt Lake City, UT MSA",0.50%,202,-19.5%,0.63%,251
43,"Austin-Round Rock-San Marcos, TX MSA",0.48%,194,-29.5%,0.69%,275
44,"San Antonio-New Braunfels, TX MSA",0.47%,190,8.6%,0.44%,175
45,"Baltimore-Towson, MD MSA",0.46%,186,36.8%,0.34%,136
46,"North Port-Bradenton-Sarasota, FL MSA",0.44%,178,27.1%,0.35%,140
47,"St. George, UT MSA",0.42%,170,18.1%,0.36%,144
48,"San Luis Obispo-Paso Robles, CA MSA, CA",0.41%,166,-7.3%,0.45%,179
49,"Jacksonville, FL MSA",0.40%,162,6.6%,0.38%,152
50,"Charlotte-Gastonia-Rock Hill, NC-SC MSA",0.38%,153,-10.5%,0.43%,171
51,"Palm Bay-Melbourne-Titusville, FL MSA",0.36%,145,3.6%,0.35%,140
52,"Columbus, OH MSA",0.33%,133,51.1%,0.22%,88
52,"Memphis, TN-AR-MS MSA",0.33%,133,-14.7%,0.39%,156
54,"Barnstable Town (Cape Cod), MA MSA",0.32%,129,0.8%,0.32%,128
54,"Edison-New Brunswick, NJ MD",0.32%,129,40.2%,0.23%,92
56,"Charleston-North Charleston-Summerville, SC MSA",0.31%,125,83.8%,0.17%,68
56,"Pittsburgh, PA MSA",0.31%,125,-10.7%,0.35%,140
58,"Indianapolis-Carmel, IN MSA",0.26%,105,9.4%,0.24%,96
59,"St. Louis, MO-IL MSA",0.26%,105,-12.5%,0.30%,120
60,"Cleveland-Elyria-Mentor, OH MSA",0.24%,97,-19.2%,0.30%,120
61,"Milwaukee-Waukesha-West Allis, WI MSA",0.19%,77,-16.3%,0.23%,92
